Date, MaxTemperature, MinTemperature, AvgTemperature
4/5/2010,73,53,63
4/6/2010,81,57,69
4/7/2010,70,48,59
4/8/2010,53,36,44.5
4/9/2010,60,31,45.5
4/10/2010,74,38,56
4/11/2010,78,45,61.5
4/12/2010,78,48,63
4/13/2010,83,48,65.5
4/14/2010,84,51,67.5
4/15/2010,82,52,67
4/16/2010,69,53,61
4/17/2010,61,37,49
4/18/2010,62,39,50.5
4/19/2010,62,38,50
4/20/2010,68,44,56
4/21/2010,73,40,56.5
4/22/2010,73,43,58
4/23/2010,59,55,57
4/24/2010,69,56,62.5
4/25/2010,61,50,55.5
4/26/2010,65,48,56.5
4/27/2010,62,39,50.5
4/28/2010,65,33,49
4/29/2010,76,44,60
4/30/2010,77,60,68.5
5/1/2010,74,63,68.5
5/2/2010,71,54,62.5
5/3/2010,75,49,62
5/4/2010,77,46,61.5
5/5/2010,79,57,68
5/6/2010,73,47,60
5/7/2010,78,51,64.5
5/8/2010,51,40,45.5
5/9/2010,61,34,47.5
5/10/2010,63,42,52.5
5/11/2010,69,48,58.5
5/12/2010,69,52,60.5
5/13/2010,81,58,69.5
5/14/2010,69,51,60
5/15/2010,67,48,57.5
5/16/2010,62,53,57.5
5/17/2010,56,49,52.5
5/18/2010,64,51,57.5
5/19/2010,72,51,61.5
5/20/2010,62,51,56.5
5/21/2010,72,59,65.5
5/22/2010,79,58,68.5
5/23/2010,89,60,74.5
5/24/2010,90,68,79
5/25/2010,88,66,77
5/26/2010,89,65,77
5/27/2010,84,65,74.5
5/28/2010,85,58,71.5
5/29/2010,90,63,76.5
5/30/2010,90,66,78
5/31/2010,86,65,75.5
6/1/2010,85,63,74
6/2/2010,79,63,71
6/3/2010,82,64,73
6/4/2010,87,60,73.5
6/5/2010,84,71,77.5
6/6/2010,78,60,69
6/7/2010,78,58,68
6/8/2010,75,63,69
6/9/2010,81,66,73.5
6/10/2010,84,60,72
6/11/2010,89,68,78.5
6/12/2010,89,69,79
6/13/2010,84,68,76
6/14/2010,85,67,76
6/15/2010,84,69,76.5
6/16/2010,82,66,74
6/17/2010,85,62,73.5
6/18/2010,92,66,79
6/19/2010,86,65,75.5
6/20/2010,89,69,79
6/21/2010,90,71,80.5
6/22/2010,84,67,75.5
6/23/2010,89,69,79
6/24/2010,83,66,74.5
6/25/2010,85,63,74
6/26/2010,90,67,78.5
6/27/2010,86,73,79.5
6/28/2010,85,71,78
6/29/2010,78,62,70
6/30/2010,78,57,67.5
7/1/2010,80,55,67.5
7/2/2010,81,56,68.5
7/3/2010,86,57,71.5
7/4/2010,89,65,77
7/5/2010,88,68,78
7/6/2010,91,67,79
7/7/2010,93,69,81
7/8/2010,88,72,80
7/9/2010,87,68,77.5
7/10/2010,87,63,75
7/11/2010,83,62,72.5
7/12/2010,86,67,76.5
7/13/2010,85,69,77
7/14/2010,92,68,80
7/15/2010,92,72,82
7/16/2010,86,66,76
7/17/2010,91,66,78.5
7/18/2010,82,69,75.5
7/19/2010,84,67,75.5
7/20/2010,82,67,74.5
7/21/2010,86,70,78
7/22/2010,91,69,80
7/23/2010,92,76,84
7/24/2010,92,72,82
7/25/2010,84,68,76
7/26/2010,86,65,75.5
7/27/2010,89,69,79
7/28/2010,91,71,81
7/29/2010,85,71,78
7/30/2010,83,65,74
7/31/2010,83,68,75.5
8/1/2010,83,63,73
8/2/2010,84,64,74
8/3/2010,94,70,82
8/4/2010,95,74,84.5
8/5/2010,88,72,80
8/6/2010,83,64,73.5
8/7/2010,85,60,72.5
8/8/2010,91,61,76
8/9/2010,93,69,81
8/10/2010,94,75,84.5
8/11/2010,94,73,83.5
8/12/2010,93,74,83.5
8/13/2010,95,71,83
8/14/2010,90,70,80
8/15/2010,89,69,79
8/16/2010,84,63,73.5
8/17/2010,81,61,71
8/18/2010,87,65,76
8/19/2010,91,63,77
8/20/2010,93,67,80
8/21/2010,85,68,76.5
8/22/2010,88,68,78
8/23/2010,86,64,75
8/24/2010,85,64,74.5
8/25/2010,82,63,72.5
8/26/2010,80,57,68.5
8/27/2010,85,54,69.5
8/28/2010,90,57,73.5
8/29/2010,94,67,80.5
8/30/2010,86,65,75.5
8/31/2010,92,66,79
9/1/2010,80,69,74.5
9/2/2010,84,67,75.5
9/3/2010,75,59,67
9/4/2010,71,52,61.5
9/5/2010,80,47,63.5
9/6/2010,86,55,70.5
9/7/2010,80,58,69
9/8/2010,79,50,64.5
9/9/2010,79,50,64.5
9/10/2010,72,56,64
9/11/2010,79,59,69
9/12/2010,83,53,68
9/13/2010,87,57,72
9/14/2010,84,61,72.5
9/15/2010,86,57,71.5
9/16/2010,74,57,65.5
9/17/2010,80,49,64.5
9/18/2010,83,51,67
9/19/2010,79,59,69
9/20/2010,90,62,76
9/21/2010,94,62,78
9/22/2010,80,64,72
9/23/2010,91,63,77
9/24/2010,77,57,67
9/25/2010,70,47,58.5
9/26/2010,61,50,55.5
9/27/2010,67,45,56
9/28/2010,75,45,60
9/29/2010,79,48,63.5
9/30/2010,78,51,64.5
10/1/2010,74,47,60.5
10/2/2010,59,45,52
10/3/2010,60,42,51
10/4/2010,61,37,49
10/5/2010,69,36,52.5
10/6/2010,78,43,60.5
10/7/2010,79,52,65.5
10/8/2010,81,42,61.5
10/9/2010,86,47,66.5
10/10/2010,85,51,68
10/11/2010,83,55,69
10/12/2010,81,55,68
10/13/2010,63,51,57
10/14/2010,67,39,53
10/15/2010,64,43,53.5
10/16/2010,73,38,55.5
10/17/2010,73,46,59.5
10/18/2010,60,42,51
10/19/2010,64,37,50.5
10/20/2010,70,36,53
10/21/2010,60,37,48.5
10/22/2010,69,31,50
10/23/2010,81,54,67.5
10/24/2010,78,56,67
10/25/2010,76,53,64.5
10/26/2010,71,49,60
10/27/2010,67,47,57
10/28/2010,47,32,39.5
10/29/2010,54,26,40
10/30/2010,64,32,48
10/31/2010,56,38,47
11/1/2010,57,36,46.5
11/2/2010,51,32,41.5
11/3/2010,58,29,43.5
11/4/2010,53,39,46
11/5/2010,42,31,36.5
11/6/2010,46,22,34
11/7/2010,63,25,44
11/8/2010,71,36,53.5
11/9/2010,75,36,55.5
11/10/2010,72,38,55
11/11/2010,77,45,61
11/12/2010,75,44,59.5
11/13/2010,54,39,46.5
11/14/2010,52,29,40.5
11/15/2010,58,32,45
11/16/2010,45,29,37
11/17/2010,50,29,39.5
11/18/2010,44,25,34.5
11/19/2010,51,19,35
11/20/2010,44,27,35.5
11/21/2010,62,37,49.5
11/22/2010,68,41,54.5
11/23/2010,41,26,33.5
11/24/2010,40,26,33
11/25/2010,46,23,34.5
11/26/2010,35,21,28
11/27/2010,37,24,30.5
11/28/2010,46,23,34.5
11/29/2010,49,32,40.5
11/30/2010,51,25,38
12/1/2010,27,20,23.5
12/2/2010,33,21,27
12/3/2010,35,24,29.5
12/4/2010,30,27,28.5
12/5/2010,27,11,19
12/6/2010,18,5,11.5
12/7/2010,19,5,12
12/8/2010,21,4,12.5
12/9/2010,32,-1,15.5
12/10/2010,39,25,32
12/11/2010,39,20,29.5
12/12/2010,25,13,19
12/13/2010,13,5,9
12/14/2010,19,1,10
12/15/2010,24,3,13.5
12/16/2010,24,21,22.5
12/17/2010,22,13,17.5
12/18/2010,27,9,18
12/19/2010,29,2,15.5
12/20/2010,31,21,26
12/21/2010,36,31,33.5
12/22/2010,33,18,25.5
12/23/2010,32,20,26
12/24/2010,30,24,27
12/25/2010,28,24,26
12/26/2010,27,18,22.5
12/27/2010,21,13,17
12/28/2010,29,11,20
12/29/2010,35,11,23
12/30/2010,48,35,41.5
12/31/2010,58,45,51.5
1/1/2011,45,17,31
1/2/2011,29,13,21
1/3/2011,38,17,27.5
1/4/2011,30,15,22.5
1/5/2011,36,13,24.5
1/6/2011,31,22,26.5
1/7/2011,27,16,21.5
1/8/2011,20,6,13
1/9/2011,27,4,15.5
1/10/2011,35,20,27.5
1/11/2011,26,21,23.5
1/12/2011,23,12,17.5
1/13/2011,17,3,10
1/14/2011,28,8,18
1/15/2011,32,16,24
1/16/2011,25,10,17.5
1/17/2011,36,20,28
1/18/2011,36,26,31
1/19/2011,27,21,24
1/20/2011,21,5,13
1/21/2011,6,-6,0
1/22/2011,20,-1,9.5
1/23/2011,22,7,14.5
1/24/2011,31,15,23
1/25/2011,28,14,21
1/26/2011,27,20,23.5
1/27/2011,39,19,29
1/28/2011,28,18,23
1/29/2011,36,21,28.5
1/30/2011,36,24,30
1/31/2011,26,18,22
2/1/2011,21,16,18.5
2/2/2011,21,7,14
2/3/2011,15,0,7.5
2/4/2011,25,7,16
2/5/2011,28,20,24
2/6/2011,33,24,28.5
2/7/2011,30,17,23.5
2/8/2011,17,1,9
2/9/2011,12,2,7
2/10/2011,18,-12,3
2/11/2011,32,14,23
2/12/2011,37,24,30.5
2/13/2011,44,31,37.5
2/14/2011,44,27,35.5
2/15/2011,38,26,32
2/16/2011,54,33,43.5
2/17/2011,61,43,52
2/18/2011,55,35,45
2/19/2011,47,29,38
2/20/2011,59,32,45.5
2/21/2011,55,32,43.5
2/22/2011,32,27,29.5
2/23/2011,39,27,33
2/24/2011,38,30,34
2/25/2011,33,29,31
2/26/2011,36,29,32.5
2/27/2011,55,34,44.5
2/28/2011,39,26,32.5
3/1/2011,46,23,34.5
3/2/2011,45,28,36.5
3/3/2011,54,27,40.5
3/4/2011,60,39,49.5
3/5/2011,54,28,41
3/6/2011,36,26,31
3/7/2011,42,28,35
3/8/2011,51,34,42.5
3/9/2011,49,35,42
3/10/2011,36,31,33.5
3/11/2011,48,26,37
3/12/2011,49,32,40.5
3/13/2011,37,28,32.5
3/14/2011,44,31,37.5
3/15/2011,41,35,38
3/16/2011,62,32,47
3/17/2011,73,40,56.5
3/18/2011,62,41,51.5
3/19/2011,58,33,45.5
3/20/2011,68,42,55
3/21/2011,71,51,61
3/22/2011,72,46,59
3/23/2011,73,33,53
3/24/2011,38,30,34
3/25/2011,41,27,34
